node,model_slug,model_label,variant_key,variant_label,tp_size,successful_requests,failed_requests,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,peak_concurrent_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,bench_path
node192,qwen3_4b,Qwen3-4B,baseline,Baseline Docker+MP,1,353.0,147.0,53.36,6.61,1062.79,45.0,262.14,32.92,4355.43,10.49,9.33,36.14,10.05,9.1,20.27,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_4b/baseline/3_docker_mp_tp1_bench.txt
node192,qwen3_4b,Qwen3-4B,dockerbe_sync_output,DockerBE Sync Output,1,353.0,147.0,53.58,6.59,1058.59,49.0,273.56,34.11,4452.22,11.0,9.82,37.07,10.55,9.55,21.21,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_4b/dockerbe_sync_output/5_host_dockerbe_tp1_bench.txt
node192,qwen3_4b,Qwen3-4B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,1,353.0,147.0,53.41,6.61,1061.86,44.0,259.31,32.92,4328.92,10.49,9.35,36.06,10.05,9.12,20.37,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_4b/dockerbe_hybrid_shm/5_host_dockerbe_tp1_bench.txt
node192,qwen3_4b,Qwen3-4B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,1,353.0,147.0,53.410657002124935,6.609167904187285,1061.8667356543397,44.0,261.3164269854776,32.8760480042547,4345.527117997419,10.494986920700757,9.336619726603939,36.21438600176288,10.053999238757042,9.112416999414563,20.38130356930196,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_4b/dockerbe_single_visible_gpu/8_host_dockerbe_single_visible_gpu_tp1_bench.txt
node192,qwen3_4b,Qwen3-4B,dockerbe_full_shm,DockerBE Full SHM,1,353.0,147.0,53.41,6.61,1061.81,45.0,263.6,33.09,4367.68,10.5,9.35,36.19,10.07,9.12,20.39,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_4b/dockerbe_full_shm/5_host_dockerbe_tp1_bench.txt
node192,qwen3_8b,Qwen3-8B,baseline,Baseline Docker+MP,1,353.0,147.0,55.5,6.36,1021.94,49.0,296.21,50.28,4761.26,16.52,15.31,63.05,15.99,14.63,38.35,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_8b/baseline/3_docker_mp_tp1_bench.txt
node192,qwen3_8b,Qwen3-8B,dockerbe_sync_output,DockerBE Sync Output,1,353.0,147.0,55.67,6.34,1018.7,52.0,304.98,51.94,4823.01,17.43,16.05,64.06,16.79,15.15,39.93,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_8b/dockerbe_sync_output/5_host_dockerbe_tp1_bench.txt
node192,qwen3_8b,Qwen3-8B,dockerbe_hybrid_shm,DockerBE Hybrid SHM,1,353.0,147.0,55.51,6.36,1021.65,48.0,287.67,49.59,4699.89,16.58,15.26,62.48,15.96,14.61,38.6,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_8b/dockerbe_hybrid_shm/5_host_dockerbe_tp1_bench.txt
node192,qwen3_8b,Qwen3-8B,dockerbe_single_visible_gpu,DockerBE Single GPU/Node,1,353.0,147.0,55.52599575207569,6.357382613652707,1021.4134700660431,49.0,293.78823436356066,50.116217229515314,4740.456600496548,16.478667969993754,15.279256667708978,62.81892746834383,15.949890291819337,14.596988447010517,38.037954117171466,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_8b/dockerbe_single_visible_gpu/8_host_dockerbe_single_visible_gpu_tp1_bench.txt
node192,qwen3_8b,Qwen3-8B,dockerbe_full_shm,DockerBE Full SHM,1,353.0,147.0,55.52,6.36,1021.58,46.0,280.33,50.5,4628.22,16.54,15.28,59.69,15.95,14.6,38.47,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_8b/dockerbe_full_shm/5_host_dockerbe_tp1_bench.txt
node192,qwen3_14b,Qwen3-14B,baseline,Baseline Docker+MP,1,353.0,147.0,59.92,5.89,946.52,62.0,358.39,101.69,4811.47,34.31,32.51,81.6,32.73,29.27,84.18,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_14b/baseline/3_docker_mp_tp1_bench.txt
node192,qwen3_14b,Qwen3-14B,dockerbe_sync_output,DockerBE Sync Output,1,353.0,147.0,60.12,5.87,943.43,63.0,364.97,106.61,4852.56,34.97,33.16,82.63,33.35,29.76,84.78,/home/thd/repositories/vllm-dev/vllm-source/examples/docker_executor/experiments/exp1_backend_comparison/node192/qwen3_14b/dockerbe_sync_output/5_host_dockerbe_tp1_bench.txt
